SessionIdentity,hour_num,stage,BG_psd,key2_psd,key3_psd,n_epoch
02L_04-21-22,0.0,N1,0.00097199366,0.037992563,0.011695016,244
02L_04-21-22,0.0,N2,0.0033786388,0.11017722,0.030555384,877
02L_04-21-22,0.0,N3,0.0011618129,0.2039358,0.062255364,326
02L_04-21-22,1.0,N1,0.0011195384,0.053453576,0.0139018465,101
02L_04-21-22,1.0,N2,0.0011978124,0.1349552,0.04071768,842
02L_04-21-22,1.0,N3,0.001194301,0.19879922,0.06725225,355
02L_04-21-22,1.0,REM,0.0011843393,0.05586334,0.015567654,469
02L_04-21-22,2.0,N1,0.00095865346,0.043994248,0.016596667,72
02L_04-21-22,2.0,N2,0.0010396285,0.13242158,0.039629877,770
02L_04-21-22,2.0,N3,0.001118004,0.19549756,0.06743401,486
02L_04-21-22,2.0,REM,0.0011138174,0.05501639,0.014998808,403
02L_04-21-22,3.0,N1,0.0007826966,0.035058226,0.011001041,188
02L_04-21-22,3.0,N2,0.00095575035,0.094486766,0.028329039,1043
02L_04-21-22,3.0,REM,0.0009262222,0.042534094,0.012278925,268
02L_04-21-22,4.0,N1,0.0008329756,0.034167495,0.010246197,191
02L_04-21-22,4.0,N2,0.0009076011,0.07490764,0.022245191,444
02L_04-21-22,5.0,N1,0.00074793596,0.022087948,0.0069750887,86
02L_04-21-22,5.0,N2,0.0008759402,0.06938977,0.020191435,869
02L_04-21-22,5.0,REM,0.00079145026,0.022876924,0.0075360397,189
02L_04-21-22,6.0,N1,0.00068219734,0.025536321,0.008686199,231
02L_04-21-22,6.0,N2,0.0008523774,0.10804243,0.03607053,814
02L_04-21-22,6.0,REM,0.000769235,0.035015296,0.011420638,207
02L_04-21-22,7.0,N1,0.0004449285,0.020809168,0.007826437,14
02L_04-21-22,7.0,REM,0.00074641104,0.029140549,0.010274959,118
02L_04-22-22,0.0,N1,0.00310047,0.038177963,0.012490554,73
02L_04-22-22,0.0,N2,0.003646598,0.089180894,0.029469244,384
02L_04-22-22,0.0,N3,0.0036169665,0.1832767,0.060051795,657
02L_04-22-22,1.0,N1,0.0038949426,0.052494396,0.015445627,102
02L_04-22-22,1.0,N2,0.0035208028,0.09440097,0.028786324,530
02L_04-22-22,1.0,N3,0.0040986137,0.21572037,0.07627236,824
02L_04-22-22,1.0,REM,0.003026592,0.045143034,0.014235905,296
02L_04-22-22,2.0,N1,0.0023858028,0.029968964,0.009306128,161
02L_04-22-22,2.0,N2,0.0030920524,0.09518394,0.029265014,1176
02L_04-22-22,3.0,N1,0.0023691722,0.023659779,0.008178308,217
02L_04-22-22,3.0,N2,0.0029173158,0.11706483,0.040977195,1157
02L_04-22-22,3.0,N3,0.0027925044,0.17633605,0.073862806,117
02L_04-22-22,3.0,REM,0.0029481256,0.03242928,0.011665281,44
02L_04-22-22,4.0,N1,0.0021415465,0.023875149,0.008461905,275
02L_04-22-22,4.0,N2,0.0031961256,0.07914177,0.023864666,427
02L_04-22-22,4.0,REM,0.002348375,0.025987301,0.009083152,678
02L_04-22-22,5.0,N1,0.0022748064,0.027536782,0.009058209,42
02L_04-22-22,5.0,N2,0.0027546221,0.093731865,0.03160629,1002
02L_04-22-22,5.0,REM,0.002738056,0.038554437,0.011675782,626
02L_04-22-22,6.0,N1,0.00226276,0.023701841,0.008265099,247
02L_04-22-22,6.0,N2,0.0026263306,0.11072459,0.038460556,1188
02L_04-22-22,6.0,REM,0.0023080932,0.020302434,0.007664268,14
02L_04-22-22,7.0,N1,0.002119912,0.038108192,0.011102968,57
02L_04-22-22,7.0,N2,0.002865359,0.11394617,0.039458934,473
02L_04-27-22,0.0,N1,0.0014660151,0.027822664,0.010448097,147
02L_04-27-22,0.0,N2,0.0018964632,0.093138345,0.03255695,237
02L_04-27-22,0.0,N3,0.0016734761,0.17730644,0.06575063,1041
02L_04-27-22,1.0,N1,0.0014438207,0.04187735,0.012302422,167
02L_04-27-22,1.0,N2,0.0014409809,0.09529331,0.029675541,1208
02L_04-27-22,1.0,N3,0.0017817123,0.23235106,0.07895004,34
02L_04-27-22,1.0,REM,0.0017117462,0.053215545,0.01542604,292
02L_04-27-22,2.0,N1,0.0012648089,0.029842589,0.0112137785,291
02L_04-27-22,2.0,N2,0.0015297459,0.096141845,0.031494662,833
02L_04-27-22,2.0,REM,0.0013281389,0.029595565,0.01007897,146
02L_04-27-22,3.0,N1,0.0019022569,0.0682245,0.022204107,58
02L_04-27-22,3.0,N2,0.0017868925,0.13875869,0.047144204,1299
02L_04-27-22,3.0,N3,0.0019385389,0.19576205,0.069179945,416
02L_04-27-22,4.0,N1,0.0054208087,0.035727024,0.013532957,128
02L_04-27-22,4.0,N2,0.0014362227,0.1043223,0.03437703,1272
02L_04-27-22,4.0,N3,0.0023254782,0.26516685,0.088485,14
02L_04-27-22,4.0,REM,0.0016237997,0.050884824,0.014750975,295
02L_04-27-22,5.0,N1,0.0018743385,0.03943035,0.012337906,213
02L_04-27-22,5.0,N2,0.0014989304,0.11882783,0.03962479,855
02L_04-27-22,5.0,REM,0.0016190273,0.057658415,0.019378128,560
02L_04-27-22,6.0,N1,0.0011117976,0.035605285,0.012733123,113
02L_04-27-22,6.0,N2,0.0012874702,0.050538976,0.016080968,235
02L_04-27-22,6.0,REM,0.0013496918,0.03706648,0.013838831,159
02L_04-28-22,0.0,N1,0.00070522365,0.025204824,0.009155586,279
02L_04-28-22,0.0,N2,0.00073387916,0.084611945,0.026741391,666
02L_04-28-22,0.0,N3,0.00074277906,0.15252556,0.054181106,475
02L_04-28-22,1.0,N1,0.0006421917,0.08167817,0.022062637,42
02L_04-28-22,1.0,N2,0.0006547873,0.12335903,0.04182486,839
02L_04-28-22,1.0,N3,0.0007164587,0.16933575,0.059454456,874
02L_04-28-22,2.0,N1,0.00046504394,0.042652834,0.0141874,258
02L_04-28-22,2.0,N2,0.0005712852,0.10251224,0.033875212,729
02L_04-28-22,2.0,N3,0.0006749314,0.18361512,0.068115324,221
02L_04-28-22,2.0,REM,0.00052884466,0.044721663,0.012367437,292
02L_04-28-22,3.0,N2,0.00044807928,0.071988024,0.025838524,53
02L_04-29-22,0.0,N1,0.0017493375,0.025352597,0.00914157,280
02L_04-29-22,0.0,N2,0.0020195246,0.10133777,0.033881895,680
02L_04-29-22,0.0,N3,0.0019616594,0.166293,0.061309576,55
02L_04-29-22,1.0,N3,0.0021334284,0.16109158,0.059823614,241
02L_04-29-22,2.0,N1,0.0014482295,0.0246906,0.007785141,246
02L_04-29-22,2.0,N2,0.0018084014,0.07917922,0.024727589,479
02L_04-29-22,2.0,REM,0.0014596124,0.028069912,0.0098970225,352
02L_04-29-22,3.0,N1,0.0015559442,0.03775228,0.013050015,55
02L_04-29-22,3.0,N2,0.0018403508,0.13534293,0.046293583,878
02L_04-29-22,3.0,N3,0.0020098034,0.15913811,0.068939164,57
02L_04-29-22,3.0,REM,0.001953657,0.047480594,0.0145137375,741
02L_04-29-22,4.0,N1,0.0023004604,0.029455245,0.013131057,42
02L_04-29-22,4.0,N2,0.0024801334,0.12559898,0.043572433,1586
